customer_city,payment_value
pederneiras,3450.01
barrinha,3439.57
itapaje,3425.08
braco do norte,3423.42
santa cruz do capibaribe,3409.19
pedreira,3391.29
santa isabel,3390.6800000000003
trindade do sul,3372.73
ibitinga,3368.45
agua boa,3358.86
lagoa grande,3352.96
venancio aires,3352.84
quixada,3350.46
alto do rodrigues,3346.7000000000003
mairinque,3346.7
vera cruz,3343.5
santa cruz do rio pardo,3343.17
bonito,3342.66
porto uniao,3329.43
garopaba,3326.7200000000003
buritizeiro,3315.51
quissama,3309.2200000000003
novo horizonte,3303.29
santo amaro da imperatriz,3296.05
tramandai,3289.92
monte azul paulista,3287.1
castilho,3279.99
monte alto,3275.56
marataizes,3274.31
alegre,3265.0099999999998
canela,3264.14
piedade,3261.85
sao joao nepomuceno,3254.82
paraty,3249.86
bom jesus,3247.83
senhor do bonfim,3241.65
holambra,3234.42
ibotirama,3233.2
caico,3215.31
almenara,3212.33
jacutinga,3201.74
encantado,3196.4500000000003
fraiburgo,3189.8
cunha,3188.41
piracaia,3184.79
machado,3182.8
pau dos ferros,3176.81
venda nova do imigrante,3171.23
itapetinga,3169.5
codo,3163.98
estancia,3157.95
bom jesus da lapa,3153.69
floriano,3145.5099999999998
caete,3144.06
marialva,3115.02
rancharia,3113.0
carlos barbosa,3108.2
imbe,3105.67
taiobeiras,3103.8
oliveira,3102.9700000000003
cordeiro,3098.43
parati,3088.59
dias d'avila,3085.7599999999998
palmeira,3083.31
bom jardim,3080.08
ipero,3079.8
sao gotardo,3078.92
santana do paraiso,3077.73
vilhena,3076.5299999999997
bariri,3075.22
pirapora do bom jesus,3067.54
paraguacu paulista,3067.31
pitangui,3064.2
capelinha,3052.35
vacaria,3048.71
salgueiro,3044.75
presidente epitacio,3014.15
sao gabriel,3003.4
dois vizinhos,3000.9
irati,2994.16
vitoria de santo antao,2988.47
cafelandia,2987.7000000000003
sao raimundo nonato,2987.04
itapiranga,2985.9900000000002
paragominas,2979.18
ouro fino,2978.2200000000003
presidente dutra,2976.37
santiago,2974.7
itaporanga,2971.05
coromandel,2956.71
nova venecia,2956.59
feliz,2947.8500000000004
espinosa,2947.44
colider,2943.95
taquarituba,2942.6000000000004
morrinhos,2929.51
nanuque,2920.75
diamantina,2907.93
araripina,2888.55
veranopolis,2878.08
abreu e lima,2871.92
monte siao,2866.44
pacaja,2860.9599999999996
icara,2850.9
bonfim paulista,2850.17
missal,2838.99
cravinhos,2838.32
barra de sao joao,2835.38
tapiratiba,2835.28
iguaba grande,2829.65
manhumirim,2817.5299999999997
joao pinheiro,2814.03
sao francisco,2812.23
rio negro,2809.8
nossa senhora do socorro,2809.56
santa juliana,2803.54
araujos,2796.3600000000006
brumadinho,2795.25
aguas lindas de goias,2788.8
ararangua,2786.74
crateus,2779.4
aparecida do taboado,2768.61
cantagalo,2758.09
anchieta,2745.38
inhumas,2733.51
tiangua,2732.68
ouricuri,2730.73
eusebio,2707.57
cornelio procopio,2705.58
querencia,2701.95
sarandi,2701.4900000000002
laguna,2696.25
ilha solteira,2694.73
americo brasiliense,2688.89
rio grande da serra,2681.59
triunfo,2675.96
tres pontas,2671.83
irece,2660.91
candeias,2655.83
goiatuba,2648.12
ipameri,2641.99
socorro,2640.22
pitangueiras,2635.2
guarani,2634.31
porto ferreira,2633.59
marau,2631.98
serra talhada,2625.95
pirai,2624.45
penha,2621.68
sao borja,2616.8900000000003
ipora,2616.8
piratininga,2614.56
riachao do jacuipe,2613.59
queimadas,2608.5099999999998
caxias,2604.15
carpina,2600.23
teotonio vilela,2599.38
cajazeiras,2599.05
paty do alferes,2597.71
sao fidelis,2597.42
piuma,2590.17
goianesia,2588.72
laranjal paulista,2583.82
estrela,2583.69
sao sebastiao do cai,2580.7
pinhalzinho,2578.16
paranatinga,2574.3199999999997
nova era,2565.16
carazinho,2562.5
santos dumont,2559.58
bambui,2558.6800000000003
sao joao da barra,2548.11
lapa,2535.01
pinheiral,2529.38
nova andradina,2527.55
cacoal,2521.83
aguai,2509.95
junqueiropolis,2505.96
comodoro,2504.2799999999997
gravata,2494.02
matias barbosa,2489.66
